sample_index_1_based,previous_raw_ms,previous_mapped_s,current_raw_ms,current_mapped_s,previous_is_stable,current_is_stable
1,612.377405166626,0.436755414276,622.217178344727,0.443773266624,False,False
2,9.798288345337,0.006988264834,10.568380355835,0.007537504326,True,True
3,7.628202438354,0.005440531751,8.437395095825,0.006017658325,True,True
4,7.504463195801,0.005352279337,8.852958679199,0.006314043599,True,True
5,7.975816726685,0.005688454716,8.507490158081,0.006067651022,True,True
6,7.784366607666,0.005551910038,8.904218673706,0.006350602884,True,True
7,7.503747940063,0.005351769207,9.031057357788,0.006441065860,True,True
8,7.494688034058,0.005345307566,8.754730224609,0.006243985807,True,True
9,7.489681243896,0.005341736659,8.301973342896,0.005921073795,True,True
10,8.129596710205,0.005798132572,8.341073989868,0.005948960878,True,True
11,7.900476455688,0.005634721070,8.305788040161,0.005923794486,True,True
12,7.516384124756,0.005360781496,8.426427841187,0.006009836339,True,True
13,7.493495941162,0.005344457350,8.415699005127,0.006002184395,True,True
14,7.782697677612,0.005550719735,8.331537246704,0.005942159151,True,True
15,8.166313171387,0.005824319222,8.385181427002,0.005980418868,True,True
16,7.758140563965,0.005533205287,8.392810821533,0.005985860250,True,True
17,7.503509521484,0.005351599164,8.321046829224,0.005934677250,True,True
18,7.488489151001,0.005340886443,8.313417434692,0.005929235868,True,True
19,7.560253143311,0.005392069442,9.051561355591,0.006455689574,True,True
20,8.193731307983,0.005843874189,8.550643920898,0.006098428839,True,True
21,7.780075073242,0.005548849260,8.368730545044,0.005968685888,True,True
22,7.482528686523,0.005336635364,8.317232131958,0.005931956559,True,True
23,7.480621337891,0.005335275018,8.465766906738,0.006037893465,True,True
24,7.513523101807,0.005358740978,8.319139480591,0.005933316905,True,True
25,9.319067001343,0.006646478029,9.830951690674,0.007011560750,True,True
26,7.521867752075,0.005364692489,8.929252624512,0.006368457419,True,True
27,7.865428924561,0.005609724721,9.398698806763,0.006703272453,True,True
28,7.910728454590,0.005642032927,8.435726165771,0.006016468023,True,True
29,7.474184036255,0.005330683852,8.324623107910,0.005937227898,True,True
30,7.456302642822,0.005317930613,8.954048156738,0.006386141910,True,True
31,7.464170455933,0.005323542038,8.691310882568,0.006198754319,True,True
32,8.656263351440,0.006173757971,8.293628692627,0.005915122284,True,True
33,7.473230361938,0.005330003679,8.283376693726,0.005907810427,True,True
34,7.460117340088,0.005320651304,10.706663131714,0.007636129374,True,True
35,7.442712783813,0.005308238152,8.546113967896,0.006095198018,True,True
36,8.049249649048,0.005740828018,9.525299072266,0.006793565385,True,True
37,7.572174072266,0.005400571602,8.340597152710,0.005948620792,True,True
38,7.498979568481,0.005348368344,9.528398513794,0.006795775947,True,True
39,7.456302642822,0.005317930613,8.585453033447,0.006123255144,True,True
40,7.485151290894,0.005338505839,8.297204971313,0.005917672932,True,True
41,7.498502731323,0.005348028257,8.934020996094,0.006371858283,True,True
42,7.479667663574,0.005334594845,8.986711502075,0.006409437827,True,True
43,7.451772689819,0.005314699793,8.698940277100,0.006204195701,True,True
44,7.620096206665,0.005434750282,8.287429809570,0.005910701161,True,True
45,7.682561874390,0.005479301597,8.624076843262,0.006150802140,True,True
46,7.460594177246,0.005320991391,8.874893188477,0.006329687573,True,True
47,7.778644561768,0.005547829001,8.708715438843,0.006211167472,True,True
48,7.580757141113,0.005406693156,9.441137313843,0.006733540140,True,True
49,7.576227188110,0.005403462336,8.838891983032,0.006304011051,True,True
50,7.469892501831,0.005327623075,8.319139480591,0.005933316905,True,True
51,7.459640502930,0.005320311218,8.319139480591,0.005933316905,True,True
52,7.445096969604,0.005309938583,8.288383483887,0.005911381334,True,True
53,7.660150527954,0.005463317538,9.099006652832,0.006489528168,True,True
54,7.645606994629,0.005452944903,8.744001388550,0.006236333863,True,True
55,7.488965988159,0.005341226530,8.896112442017,0.006344821416,True,True
56,7.467508316040,0.005325922643,8.435726165771,0.006016468023,True,True
57,7.473707199097,0.005330343766,8.560657501221,0.006105570653,True,True
58,7.491350173950,0.005342926962,8.349895477295,0.005955252476,True,True
59,7.459640502930,0.005320311218,9.780883789062,0.006975851681,True,True
60,7.465600967407,0.005324562297,8.493423461914,0.006057618474,True,True
61,7.457733154297,0.005318950872,8.820295333862,0.006290747683,True,True
62,7.436752319336,0.005303987072,8.992195129395,0.006413348820,True,True
63,7.450342178345,0.005313679533,9.015321731567,0.006429843009,True,True
64,7.852315902710,0.005600372346,9.042739868164,0.006449397976,True,True
65,7.742404937744,0.005521982437,8.498430252075,0.006061189381,True,True
66,7.439613342285,0.005306027590,8.627653121948,0.006153352788,True,True
67,7.433176040649,0.005301436424,8.274316787720,0.005901348786,True,True
68,7.487297058105,0.005340036227,8.774042129517,0.006257759305,True,True
69,7.518529891968,0.005362311885,8.385419845581,0.005980588911,True,True
70,7.478475570679,0.005333744629,8.490800857544,0.006055747999,True,True
71,7.445573806763,0.005310278670,9.495973587036,0.006772650073,True,True
72,7.448673248291,0.005312489231,8.893489837646,0.006342950941,True,True
73,7.488012313843,0.005340546357,8.317470550537,0.005932126603,True,True
74,7.447957992554,0.005311979102,8.283853530884,0.005908150513,True,True
75,7.438659667969,0.005305347417,8.838415145874,0.006303670965,True,True
76,8.070468902588,0.005755961861,8.659362792969,0.006175968532,True,True
77,7.476568222046,0.005332384284,8.400917053223,0.005991641718,True,True
78,7.448911666870,0.005312659274,8.664846420288,0.006179879525,True,True
79,7.432699203491,0.005301096338,8.558034896851,0.006103700178,True,True
80,7.470846176147,0.005328303248,8.846521377563,0.006309452433,True,True
81,7.480382919312,0.005335104975,8.305072784424,0.005923284357,True,True
82,7.445812225342,0.005310448713,9.541034698486,0.006804788235,True,True
83,7.459402084351,0.005320141175,8.408069610596,0.005996743013,True,True
84,7.461309432983,0.005321501520,8.571863174438,0.006113562683,True,True
85,7.450819015503,0.005314019620,8.258581161499,0.005890125936,True,True
86,7.451057434082,0.005314189663,8.615970611572,0.006145020672,True,True
87,7.442235946655,0.005307898065,8.419752120972,0.006005075130,True,True
88,7.469892501831,0.005327623075,8.522510528564,0.006078363743,True,True
