candidate_group,label,ops,effect_200_iou,mapped_iou,effect_phase,effect_source,total_logged_epochs,warmup_epochs_detected,search_epochs_detected,total_wall_hours,search_only_wall_hours,gpu_count,total_gpu_hours,search_only_gpu_hours,search_cost_source,note
Res_Group_Spa_MBConv,Res+Group+Spa+MBConv,12,0.456000,0.471475,train,"/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_Res_Group_Spa_MBConv_27_10_2023_10_47_00/logs/valid_console.txt",1800,300,1500,2.165894,1.793957,2,4.331788,3.587913,"/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_Res_Group_Spa_MBConv_27_10_2023_10_47_00/logs/train_console.txt",200-epoch metric from train-phase validation in the 2023 search log.
whole,Whole / full,18,0.663000,0.685500,train,/home/intern/proxylessnas/search/logs/ablate_combo_b1Ghost5x5_b3Shufflee2_Retrain_10/logs/valid_console.txt,1600,100,1500,8.951742,8.469659,2,17.903484,16.939318,"/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_whole_all_27_04_2026_00_04_38/logs/train_console.txt",IoU anchor from current best full candidate; search cost from the best complete whole_all GPU search log.
